family,common_name,scientific_names,trophic_groups,swahili_names
others,Eel,Mkunga ,#N/A,Mkunga 
Gerreidae,common silver belly ,Gerres subfasciatus ,#N/A,Chilili
Lutjanidae,Unknown,Sandaza ,#N/A,Sandaza 
Lethrinidae,Unknown,Changu kibaku ,#N/A,Changu kibaku 
Unknown,Unknown,Mwavi ,#N/A,Mwavi 
Scaridae,Unknown,chore ,#N/A,chore 
Engraulidae,Unknown,Gongeo ,#N/A,Gongeo 
Unknown,Unknown,Vumbaba ,#N/A,Vumbaba 
Lethrinidae,Unknown,Chengo ,#N/A,Chengo 
Gerreidae,Unknown,Gerres Oyena,#N/A,Vyege 
Nemipteridae,Unknown,Scolopsis ghanam,#N/A,Kanga Macho 
Unknown,Unknown,Ninga ,#N/A,Ninga 
Acanthuridae,Unknown,Naso brachycentron,#N/A,Nguwazi
Hemiramphidae,Unknown,Chana la ndizi ,#N/A,Chana la ndizi 
Unknown,Unknown,Kuwi ,#N/A,Kuwi 
Unknown,Unknown,Ufeda ,#N/A,Ufeda 
Unknown,Unknown,Mwewe kandaa ,#N/A,Mwewe kandaa 
Unknown,Unknown,Hubwi ,#N/A,Hubwi 
Unknown,Unknown,Ng'ogo ,#N/A,Ng'ogo 
Erythrinidae ,Unknown,Tiri macho ,#N/A,Tiri macho 
Unknown,Unknown,Sape ,#N/A,Sape 
Serranidae,Unknown,Chewa tumbo ,#N/A,Chewa tumbo 
Labridae,Unknown,Ndodozi biabu ,#N/A,Ndodozi biabu 
Unknown,Unknown,Tiri mwekundu ,#N/A,Tiri mwekundu 
Unknown,Unknown,Tiri mweusi ,#N/A,Tiri mweusi 
Unknown,Unknown,Tiri mweupe ,#N/A,Tiri mweupe 
